dataset_number,proposed_filename,section,source_relative_path,source_extension,technique,content_label
137,VZ2_062_021_UK_D_0137_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_09_Loopeis 1,46V_45s_4_PEIS from 650Hz to 100Hz_01_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 650Hz and 100Hz."
138,VZ2_062_021_UK_D_0138_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_09_Loopeis 1,46V_45s_4_PEIS from 650Hz to 100Hz_02_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 650Hz and 100Hz."
139,VZ2_062_021_UK_D_0139_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_09_Loopeis 1,46V_45s_4_PEIS from 650Hz to 100Hz_03_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 650Hz and 100Hz."
140,VZ2_062_021_UK_D_0140_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_09_Loopeis 1,46V_45s_4_PEIS from 650Hz to 100Hz_04_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 650Hz and 100Hz."
141,VZ2_062_021_UK_D_0141_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_09_Loopeis 1,46V_45s_4_PEIS from 650Hz to 100Hz_05_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 650Hz and 100Hz."
142,VZ2_062_021_UK_D_0142_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_09_Loopeis 1,46V_45s_4_PEIS from 650Hz to 100Hz_06_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 650Hz and 100Hz."
143,VZ2_062_021_UK_D_0143_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_09_Loopeis 1,46V_45s_4_PEIS from 650Hz to 100Hz_07_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 650Hz and 100Hz."
144,VZ2_062_021_UK_D_0144_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_09_Loopeis 1,46V_45s_4_PEIS from 650Hz to 100Hz_08_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 650Hz and 100Hz."
145,VZ2_062_021_UK_D_0145_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_09_Loopeis 1,46V_45s_4_PEIS from 650Hz to 100Hz_09_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 650Hz and 100Hz."
146,VZ2_062_021_UK_D_0146_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_09_Loopeis 1,46V_45s_4_PEIS from 650Hz to 100Hz_10_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 650Hz and 100Hz."
147,VZ2_062_021_UK_D_0147_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_09_Loopeis 1,46V_45s_4_PEIS from 650Hz to 100Hz_11_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 650Hz and 100Hz."
148,VZ2_062_021_UK_D_0148_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_09_Loopeis 1,46V_45s_4_PEIS from 650Hz to 100Hz_12_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 650Hz and 100Hz."
149,VZ2_062_021_UK_D_0149_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_09_Loopeis 1,46V_45s_4_PEIS from 650Hz to 100Hz_13_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 650Hz and 100Hz."
150,VZ2_062_021_UK_D_0150_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_09_Loopeis 1,46V_45s_4_PEIS from 650Hz to 100Hz_14_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 650Hz and 100Hz."
151,VZ2_062_021_UK_D_0151_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_09_Loopeis 1,46V_45s_4_PEIS from 650Hz to 100Hz_15_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 650Hz and 100Hz."
152,VZ2_062_021_UK_D_0152_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_09_Loopeis 1,46V_45s_4_PEIS from 650Hz to 100Hz_16_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 650Hz and 100Hz."
153,VZ2_062_021_UK_D_0153_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_09_Loopeis 1,46V_45s_4_PEIS from 650Hz to 100Hz_17_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 650Hz and 100Hz."
154,VZ2_062_021_UK_D_0154_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_09_Loopeis 1,46V_45s_4_PEIS from 650Hz to 100Hz_18_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 650Hz and 100Hz."
155,VZ2_062_021_UK_D_0155_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_09_Loopeis 1,46V_45s_4_PEIS from 650Hz to 100Hz_19_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 650Hz and 100Hz."
156,VZ2_062_021_UK_D_0156_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_09_Loopeis 1,46V_45s_4_PEIS from 650Hz to 100Hz_20_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 650Hz and 100Hz."
157,VZ2_062_021_UK_D_0157_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_10_Loopeis 1,46V_45s_5_PEIS from 65Hz to 10Hz_01_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 65Hz and 10Hz."
158,VZ2_062_021_UK_D_0158_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_10_Loopeis 1,46V_45s_5_PEIS from 65Hz to 10Hz_02_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 65Hz and 10Hz."
159,VZ2_062_021_UK_D_0159_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_10_Loopeis 1,46V_45s_5_PEIS from 65Hz to 10Hz_03_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 65Hz and 10Hz."
160,VZ2_062_021_UK_D_0160_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_10_Loopeis 1,46V_45s_5_PEIS from 65Hz to 10Hz_04_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 65Hz and 10Hz."
161,VZ2_062_021_UK_D_0161_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_10_Loopeis 1,46V_45s_5_PEIS from 65Hz to 10Hz_05_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 65Hz and 10Hz."
162,VZ2_062_021_UK_D_0162_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_10_Loopeis 1,46V_45s_5_PEIS from 65Hz to 10Hz_06_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 65Hz and 10Hz."
163,VZ2_062_021_UK_D_0163_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_10_Loopeis 1,46V_45s_5_PEIS from 65Hz to 10Hz_07_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 65Hz and 10Hz."
164,VZ2_062_021_UK_D_0164_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_10_Loopeis 1,46V_45s_5_PEIS from 65Hz to 10Hz_08_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 65Hz and 10Hz."
165,VZ2_062_021_UK_D_0165_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_10_Loopeis 1,46V_45s_5_PEIS from 65Hz to 10Hz_09_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 65Hz and 10Hz."
166,VZ2_062_021_UK_D_0166_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_10_Loopeis 1,46V_45s_5_PEIS from 65Hz to 10Hz_10_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 65Hz and 10Hz."
167,VZ2_062_021_UK_D_0167_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_10_Loopeis 1,46V_45s_5_PEIS from 65Hz to 10Hz_11_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 65Hz and 10Hz."
168,VZ2_062_021_UK_D_0168_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_10_Loopeis 1,46V_45s_5_PEIS from 65Hz to 10Hz_12_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 65Hz and 10Hz."
169,VZ2_062_021_UK_D_0169_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_10_Loopeis 1,46V_45s_5_PEIS from 65Hz to 10Hz_13_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 65Hz and 10Hz."
170,VZ2_062_021_UK_D_0170_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_10_Loopeis 1,46V_45s_5_PEIS from 65Hz to 10Hz_14_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 65Hz and 10Hz."
171,VZ2_062_021_UK_D_0171_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_10_Loopeis 1,46V_45s_5_PEIS from 65Hz to 10Hz_15_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 65Hz and 10Hz."
172,VZ2_062_021_UK_D_0172_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_10_Loopeis 1,46V_45s_5_PEIS from 65Hz to 10Hz_16_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 65Hz and 10Hz."
173,VZ2_062_021_UK_D_0173_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_10_Loopeis 1,46V_45s_5_PEIS from 65Hz to 10Hz_17_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 65Hz and 10Hz."
174,VZ2_062_021_UK_D_0174_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_10_Loopeis 1,46V_45s_5_PEIS from 65Hz to 10Hz_18_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 65Hz and 10Hz."
175,VZ2_062_021_UK_D_0175_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_10_Loopeis 1,46V_45s_5_PEIS from 65Hz to 10Hz_19_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 65Hz and 10Hz."
176,VZ2_062_021_UK_D_0176_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_10_Loopeis 1,46V_45s_5_PEIS from 65Hz to 10Hz_20_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 45 s, with PEIS frequency in between 65Hz and 10Hz."
177,VZ2_062_021_UK_D_0177_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_11_Loopeis 1,46V_60s_1_initial_loops_01_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, initial loops."
178,VZ2_062_021_UK_D_0178_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_11_Loopeis 1,46V_60s_1_initial_loops_02_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, initial loops."
179,VZ2_062_021_UK_D_0179_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_12_Loopeis 1,46V_60s_2_PEIS from 65kHz to 10kHz_01_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, with PEIS frequency in between 65kHz and 10kHz."
180,VZ2_062_021_UK_D_0180_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_12_Loopeis 1,46V_60s_2_PEIS from 65kHz to 10kHz_02_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, with PEIS frequency in between 65kHz and 10kHz."
181,VZ2_062_021_UK_D_0181_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_12_Loopeis 1,46V_60s_2_PEIS from 65kHz to 10kHz_03_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, with PEIS frequency in between 65kHz and 10kHz."
182,VZ2_062_021_UK_D_0182_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_12_Loopeis 1,46V_60s_2_PEIS from 65kHz to 10kHz_04_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, with PEIS frequency in between 65kHz and 10kHz."
183,VZ2_062_021_UK_D_0183_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_12_Loopeis 1,46V_60s_2_PEIS from 65kHz to 10kHz_05_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, with PEIS frequency in between 65kHz and 10kHz."
184,VZ2_062_021_UK_D_0184_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_12_Loopeis 1,46V_60s_2_PEIS from 65kHz to 10kHz_06_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, with PEIS frequency in between 65kHz and 10kHz."
185,VZ2_062_021_UK_D_0185_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_12_Loopeis 1,46V_60s_2_PEIS from 65kHz to 10kHz_07_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, with PEIS frequency in between 65kHz and 10kHz."
186,VZ2_062_021_UK_D_0186_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_12_Loopeis 1,46V_60s_2_PEIS from 65kHz to 10kHz_08_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, with PEIS frequency in between 65kHz and 10kHz."
187,VZ2_062_021_UK_D_0187_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_12_Loopeis 1,46V_60s_2_PEIS from 65kHz to 10kHz_09_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, with PEIS frequency in between 65kHz and 10kHz."
188,VZ2_062_021_UK_D_0188_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_12_Loopeis 1,46V_60s_2_PEIS from 65kHz to 10kHz_10_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, with PEIS frequency in between 65kHz and 10kHz."
189,VZ2_062_021_UK_D_0189_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_12_Loopeis 1,46V_60s_2_PEIS from 65kHz to 10kHz_11_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, with PEIS frequency in between 65kHz and 10kHz."
190,VZ2_062_021_UK_D_0190_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_12_Loopeis 1,46V_60s_2_PEIS from 65kHz to 10kHz_12_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, with PEIS frequency in between 65kHz and 10kHz."
191,VZ2_062_021_UK_D_0191_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_12_Loopeis 1,46V_60s_2_PEIS from 65kHz to 10kHz_13_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, with PEIS frequency in between 65kHz and 10kHz."
192,VZ2_062_021_UK_D_0192_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_12_Loopeis 1,46V_60s_2_PEIS from 65kHz to 10kHz_14_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, with PEIS frequency in between 65kHz and 10kHz."
193,VZ2_062_021_UK_D_0193_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_12_Loopeis 1,46V_60s_2_PEIS from 65kHz to 10kHz_15_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, with PEIS frequency in between 65kHz and 10kHz."
194,VZ2_062_021_UK_D_0194_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_12_Loopeis 1,46V_60s_2_PEIS from 65kHz to 10kHz_16_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, with PEIS frequency in between 65kHz and 10kHz."
195,VZ2_062_021_UK_D_0195_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_12_Loopeis 1,46V_60s_2_PEIS from 65kHz to 10kHz_17_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, with PEIS frequency in between 65kHz and 10kHz."
196,VZ2_062_021_UK_D_0196_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_12_Loopeis 1,46V_60s_2_PEIS from 65kHz to 10kHz_18_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, with PEIS frequency in between 65kHz and 10kHz."
197,VZ2_062_021_UK_D_0197_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_12_Loopeis 1,46V_60s_2_PEIS from 65kHz to 10kHz_19_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, with PEIS frequency in between 65kHz and 10kHz."
198,VZ2_062_021_UK_D_0198_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_12_Loopeis 1,46V_60s_2_PEIS from 65kHz to 10kHz_20_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, with PEIS frequency in between 65kHz and 10kHz."
199,VZ2_062_021_UK_D_0199_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_13_Loopeis 1,46V_60s_3_PEIS from 6500Hz to 1000Hz_01_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, with PEIS frequency in between 6500Hz and 1000Hz."
200,VZ2_062_021_UK_D_0200_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_13_Loopeis 1,46V_60s_3_PEIS from 6500Hz to 1000Hz_02_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, with PEIS frequency in between 6500Hz and 1000Hz."
201,VZ2_062_021_UK_D_0201_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_13_Loopeis 1,46V_60s_3_PEIS from 6500Hz to 1000Hz_03_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, with PEIS frequency in between 6500Hz and 1000Hz."
202,VZ2_062_021_UK_D_0202_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_13_Loopeis 1,46V_60s_3_PEIS from 6500Hz to 1000Hz_04_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, with PEIS frequency in between 6500Hz and 1000Hz."
203,VZ2_062_021_UK_D_0203_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_13_Loopeis 1,46V_60s_3_PEIS from 6500Hz to 1000Hz_05_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, with PEIS frequency in between 6500Hz and 1000Hz."
204,VZ2_062_021_UK_D_0204_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_13_Loopeis 1,46V_60s_3_PEIS from 6500Hz to 1000Hz_06_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, with PEIS frequency in between 6500Hz and 1000Hz."
205,VZ2_062_021_UK_D_0205_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_13_Loopeis 1,46V_60s_3_PEIS from 6500Hz to 1000Hz_07_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, with PEIS frequency in between 6500Hz and 1000Hz."
206,VZ2_062_021_UK_D_0206_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_13_Loopeis 1,46V_60s_3_PEIS from 6500Hz to 1000Hz_08_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, with PEIS frequency in between 6500Hz and 1000Hz."
207,VZ2_062_021_UK_D_0207_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_13_Loopeis 1,46V_60s_3_PEIS from 6500Hz to 1000Hz_09_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, with PEIS frequency in between 6500Hz and 1000Hz."
208,VZ2_062_021_UK_D_0208_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_13_Loopeis 1,46V_60s_3_PEIS from 6500Hz to 1000Hz_10_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, with PEIS frequency in between 6500Hz and 1000Hz."
209,VZ2_062_021_UK_D_0209_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_13_Loopeis 1,46V_60s_3_PEIS from 6500Hz to 1000Hz_11_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 60 s, with PEIS frequency in between 6500Hz and 1000Hz."
